Area,Percentage Insecurity,Import(Tonnes),Export(Tonnes),Production(Tonnes),Population(1000persons),GDP(Million US$),Production per person(kg),Net Import per person(kg),GDP per person(k US$),PD standard,NI standard,GDP standard,,Observation,Predicted Y,Residuals,,,,,,,,,,
Germany,0.5,10666532,7912730,44302400,83148.14,68353.48,532.8128807,33.11922552,0.82206866,0.288611,0.105802,-0.27257755,,36,8.043781,-7.54378,,,,,,,,,,
Ghana,6,1702637,408,4360040,31522.29,205144.2,138.3160932,54.00080388,6.507909165,-0.56514,0.15329,-0.25678125,,37,12.40325,-6.40325,,,,,,,,,,
Greece,1.7,2012091,400507,2944220,10574.02,13513.81,278.4390421,152.4097741,1.278020091,-0.26189,0.377087,-0.27131083,,38,10.52474,-8.82474,,,,,,,,,,
Guinea,47.9,925659,32,4286357,12877.54,1322.27,332.8552658,71.87917879,0.102680326,-0.14413,0.193948,-0.27457614,,39,10.17307,37.72693,,,,,,,,,,
Guinea-Bissau,21,118397,1,238628,1970.457,14006.81,121.1028711,60.08555376,7.108406832,-0.60239,0.167127,-0.25511296,,40,12.57593,8.424067,,,,,,,,,,
Haiti,47,736092,361,389868,11160.44,25089.94,34.93303131,65.92311773,2.248113874,-0.78887,0.180403,-0.26861573,,41,13.54067,33.45933,,,,,,,,,,
Honduras,14.6,1075015,6209,667782,9958.829,163526.5,67.05426913,107.3224573,16.42025383,-0.71936,0.274551,-0.22924296,,42,13.00792,1.59208,,,,,,,,,,
Hungary,1.1,361371,5811124,15650010,9771.796,24857.74,1601.548989,-557.7022893,2.543825106,2.601515,-1.23782,-0.26779419,,43,-2.10285,3.202852,,,,,,,,,,
Iceland,1.5,75138,121,7900,360.774,1119091,21.89736511,207.9334985,3101.91699,-0.81709,0.503357,8.342826779,,44,4.792985,-3.29298,,,,,,,,,,
Indonesia,0.7,12317468,3744,77190033,269582.9,653592.8,286.33134,45.67694761,2.424459415,-0.24481,0.13436,-0.26812581,,45,10.77444,-10.0744,,,,,,,,,,
Iran (Islamic Republic of),7.9,12249591,2971,22555476,86564.2,399122.1,260.5635586,141.4744201,4.610706273,-0.30058,0.352218,-0.26205202,,46,10.75197,-2.85197,,,,,,,,,,
Ireland,2.7,2006075,172339,2267990,4896.019,397934.6,463.231454,374.5361282,81.27717642,0.138027,0.882237,-0.04905866,,47,7.515202,-4.8152,,,,,,,,,,
Israel,1.9,3940913,4095,184118,8607.919,2009384,21.38937413,457.3484021,233.4343527,-0.81818,1.070565,0.373661583,,48,11.81064,-9.91064,,,,,,,,,,
Italy,0.6,14736828,784216,16363450,59727.93,15830.76,273.9664676,233.6028053,0.26504786,-0.27157,0.561733,-0.27412505,,49,10.31795,-9.71795,,,,,,,,,,
Jamaica,19.2,574395,256,2059,2813.773,5148782,0.731757679,204.0459554,1829.849814,-0.86289,0.494516,4.808793372,,50,8.507348,10.69265,,,,,,,,,,
Japan,<0.5,23722421,48163,11830030,125791.7,44502.82,94.04459913,188.2020674,0.353781847,-0.66095,0.458484,-0.27387853,,51,12.48886,-11.9889,,,,,,,,,,
Jordan,13.4,2693907,9161,114217,10698.68,181667.1,10.675803,250.9417984,16.98032841,-0.84137,0.601164,-0.22768697,,52,13.18142,0.218584,,,,,,,,,,
Kazakhstan,<0.5,416600,7223168,17497097,18754.26,100554.2,932.9665367,-362.9345013,5.361672495,1.154603,-0.79489,-0.2599657,,53,4.793804,-4.2938,,,,,,,,,,
Kenya,24.9,2981729,96394,4621302,50951.45,136191.6,90.70010765,56.62910477,2.67296809,-0.66819,0.159267,-0.26743541,,54,12.94141,11.95859,,,,,,,,,,
Kuwait,3.7,1404776,4,31382,4441.1,8871.02,7.066267366,316.3117246,1.997482606,-0.84918,0.749826,-0.26931203,,55,13.05358,-9.35358,,,,,,,,,,
Kyrgyzstan,0.9,216810,1163,1823520,6323.643,18740.56,288.3654248,34.10170372,2.963570208,-0.24041,0.108036,-0.26662807,,56,10.78713,-9.88713,,,,,,,,,,
Lao People's Democratic Republic,5.9,96455,219750,4328125,7212.053,34308.78,600.1238482,-17.0956869,4.757144741,0.434282,-0.00839,-0.26164519,,57,7.435929,-1.53593,,,,,,,,,,
